"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
      Outros,"0,331","0,155","0,231","0,546","0,534","0,363","0,530"
Óleos e gorduras,"5,494","4,954","5,267","5,933","6,683","4,468","7,016"
   Óleos,"4,489","4,137","4,430","4,779","4,964","3,415","6,270"
      Azeite de oliva,"0,156","0,028","0,072","0,122","0,292","0,328","2,037"
      Óleo de girassol,"0,069","0,038","0,020","0,088","0,045",-,"0,785"
      Óleo de canola,"0,009",-,"0,010","0,005","0,051","0,030",-
      Óleo de milho,"0,087","0,057","0,069","0,023","0,438","0,070","0,068"
      Óleo de soja,"4,112","3,941","4,166","4,523","4,093","2,954","3,364"
      Óleo não especificado,"0,039","0,046","0,093","0,005","0,022",-,-
      Outros,"0,017","0,026",-,"0,013","0,022","0,034","0,017"
   Gorduras,"1,005","0,817","0,837","1,154","1,719","1,052","0,746"
      Banha de porco,"0,013","0,010","0,017","0,018","0,008",-,"0,011"
      Margarina vegetal,"0,992","0,808","0,820","1,137","1,712","1,052","0,735"
      Outras,-,-,-,-,-,-,-
Bebidas e infusões,"35,738","21,684","28,655","34,368","67,483","86,763","113,551"
   Bebidas alcoólicas,"2,945","0,977","3,066","3,816","4,610","3,747","12,286"
      Aguardente de cana,"0,056","0,062","0,067","0,043","0,086",-,-
      Outras aguardentes,"0,001","0,002",-,-,-,-,-
      Cerveja,"2,493","0,793","2,779","3,575","4,324","3,582","4,433"
      Vinho,"0,119","0,052","0,156","0,136","0,157","0,084","0,474"
      Outras,"0,275","0,069","0,064","0,061","0,043","0,081","7,379"
   Bebidas não alcoólicas,"30,642","18,636","23,421","28,396","60,550","80,744","98,983"
      Água mineral,"21,220","10,783","15,929","19,286","47,363","64,230","73,571"
      Refrigerante de cola,"3,649","2,701","3,424","3,378","4,338","8,530","11,988"
      Refrigerante de guaraná,"2,493","2,156","2,032","2,301","4,696","2,996","3,969"
      Refrigerante de laranja,"0,576","0,440","0,374","0,581","0,824","2,659","0,518"
