"Alimento","Região Nordeste",Maranhão,Piauí,Ceará,"Rio Grande do Norte",Paraíba,"Pernambuco",Alagoas,Sergipe,Bahia
      Carne-seca,"0,786","0,016",-,"0,065","0,761","1,160","2,075","1,312","0,698","0,743"
      Mocotó,"0,081","0,179","0,061","0,036","0,055","0,131","0,064","0,015","0,054","0,088"
      Outras,"0,714","1,034","0,509","0,872","0,826","0,639","0,526","1,188","0,383","0,570"
   Carnes suínas com osso e sem osso,"1,762","2,474","4,081","2,520","1,256","1,716","0,611","1,171","1,168","1,537"
      Carré,"0,401","0,199","0,459","0,591","0,500","0,263","0,241","0,435","0,317","0,488"
      Costela,"0,102","0,044","0,160","0,196","0,109","0,031","0,033","0,127","0,022","0,125"
      Lombo,"0,016",-,"0,013","0,019","0,026",-,"0,004",-,-,"0,036"
      Pernil,"0,069","0,171","0,252","0,059","0,012",-,"0,039","0,172","0,039","0,018"
      Porco eviscerado,"0,098","0,160","0,727","0,033",-,"0,232",-,"0,014",-,"0,054"
      Outras,"1,076","1,900","2,471","1,620","0,608","1,189","0,293","0,423","0,790","0,815"
   Carnes suínas outras,"1,828","0,872","0,893","1,596","2,993","1,773","2,401","2,589","1,901","1,823"
      Carne salgada não especificada,"0,061","0,027","0,006","0,016","0,019","0,025","0,006",-,"0,021","0,193"
      Costela de porco salgada,"0,000",-,-,-,-,-,"0,003",-,-,-
      Mortadela,"0,565","0,114","0,172","0,583","1,325","0,687","0,913","0,689","0,467","0,408"
      Paio,"0,002",-,-,-,-,-,"0,007",-,-,"0,001"
      Pé de porco salgado,"0,003","0,001",-,-,-,"0,001",-,-,"0,003","0,011"
      Presunto,"0,229","0,126","0,150","0,215","0,262","0,194","0,222","0,208","0,247","0,311"
      Salame,"0,037",-,"0,001","0,002","0,022","0,029","0,022","0,386","0,124","0,009"
      Salsicha comum,"0,684","0,480","0,370","0,552","1,060","0,599","1,020","1,007","0,893","0,544"
      Toucinho fresco,"0,058","0,003","0,013","0,099","0,019",-,-,-,-,"0,150"
      Toucinho defumado,"0,050","0,032","0,024","0,034","0,031","0,020","0,027","0,006","0,053","0,111"
      Outras,"0,139","0,090","0,158","0,095","0,256","0,218","0,181","0,291","0,094","0,084"
   Carnes de outros animais,"2,078","1,331","4,592","1,931","2,981","2,119","1,460","1,132","1,634","2,418"
      Carne de cabrito,"0,329","0,123","1,206","0,059","0,420","0,450","0,279","0,067","0,049","0,479"
      Carne de carneiro,"0,289","0,022","1,188","0,590","0,351","0,030","0,031","0,053","0,255","0,311"
      Linguiça,"1,368","1,027","2,128","1,181","2,019","1,430","1,107","0,953","1,302","1,576"
      Outras,"0,092","0,160","0,070","0,100","0,192","0,208","0,043","0,059","0,028","0,053"
Vísceras,"0,822","1,175","0,691","0,457","0,781","0,567","0,745","0,426","1,008","1,095"
   Vísceras bovinas,"0,768","1,128","0,667","0,415","0,749","0,471","0,713","0,406","0,959","1,009"
      Bucho,"0,020","0,057","0,028",-,"0,043",-,"0,029",-,"0,004","0,014"
      Fígado,"0,473","0,493","0,326","0,319","0,308","0,336","0,555","0,341","0,604","0,623"
      Língua,"0,023",-,"0,006","0,004","0,018","0,041","0,033",-,-,"0,049"
      Outras,"0,252","0,578","0,308","0,092","0,381","0,094","0,096","0,065","0,352","0,323"
   Vísceras suínas,"0,030","0,026","0,023","0,032","0,018","0,004","0,021","0,020","0,044","0,049"
   Outras vísceras,"0,023","0,021",-,"0,010","0,015","0,092","0,011",-,"0,004","0,038"
Pescados,"4,083","11,066","4,748","3,502","2,653","2,795","3,019","3,749","4,588","2,347"
   Pescados de água salgada,"2,413","6,038","1,316","1,894","1,586","1,829","2,148","2,151","3,105","1,732"
      Anchova fresca,"0,031","0,037","0,037",-,-,"0,035","0,108","0,057",-,"0,002"
      Bacalhau,"0,060","0,006",-,"0,042","0,017","0,090","0,096","0,090","0,081","0,077"
      Bagre fresco,"0,071","0,474","0,052","0,040",-,-,-,-,-,"0,011"
      Cação fresco,"0,001",-,-,-,-,"0,002",-,-,-,"0,004"
      Camarão fresco,"0,120","0,396","0,045","0,020","0,103","0,055","0,107","0,061","0,277","0,085"
      Corvina fresca,"0,219","0,351",-,"0,049","0,008","0,142","0,189","0,125","0,294","0,409"
      Merluza em filé congelado,"0,022",-,"0,015",-,"0,017","0,004","0,052","0,012","0,013","0,036"
      Merluza em filé fresco,"0,008",-,-,"0,018",-,"0,005","0,006",-,-,"0,013"
      Parati fresco,"0,003","0,022",-,-,-,-,-,-,-,-
      Pescada em filé congelado,"0,003",-,"0,035","0,006",-,-,-,-,-,-
      Pescada em filé fresco,"0,005","0,031",-,-,-,-,-,-,-,"0,005"
      Pescada fresca,"0,109","0,454","0,040","0,024","0,066","0,036","0,059","0,121","0,143","0,068"
      Pescadinha fresca,"0,028","0,149","0,026",-,-,"0,024","0,023",-,-,"0,011"
      Sardinha em conserva,"0,198","0,381","0,414","0,117","0,173","0,171","0,265","0,148","0,113","0,108"
      Sardinha fresca,"0,102","0,030","0,035","0,025","0,099","0,061","0,144","0,076","0,209","0,174"
      Tainha fresca,"0,082","0,423","0,006","0,061","0,048",-,"0,027","0,017","0,126","0,022"
      Outros pescados em filé congelado,"0,072","0,020","0,033","0,102","0,071","0,076","0,057","0,023","0,060","0,109"
      Outros pescados em filé fresco,"0,090","0,110","0,005","0,071","0,072","0,158","0,073","0,061","0,136","0,108"
      Outros pescados frescos,"1,103","2,944","0,572","1,208","0,848","0,902","0,838","1,304","1,618","0,445"
      Outros pescados salgados,"0,086","0,212",-,"0,110","0,063","0,068","0,105","0,056","0,035","0,044"
   Pescados de água doce,"0,966","2,699","2,961","0,997","0,598","0,611","0,384","0,710","0,722","0,336"
      Acará fresca,"0,023","0,045",-,"0,073",-,"0,004",-,"0,098",-,-
      Acari fresco,"0,009","0,057","0,001",-,"0,008",-,"0,007",-,-,"0,002"
      Anujá fresco,"0,049","0,213","0,167",-,-,-,"0,029",-,-,"0,031"
      Curimatã fresco,"0,044","0,193","0,135","0,008","0,059",-,"0,017",-,-,"0,018"
      Dourada fresca,"0,009",-,-,-,"0,106","0,009","0,007","0,007","0,007",-
      Jaraqui fresco,-,-,-,-,-,-,-,-,-,-
      Lambari fresco,"0,031","0,069","0,149","0,011",-,-,"0,003",-,"0,060","0,034"
      Mapará fresco,"0,001","0,005",-,-,"0,008",-,-,-,-,-
      Piau fresco,"0,009","0,024","0,071",-,-,-,-,-,-,"0,007"
      Surubim fresco,"0,006","0,015","0,076",-,-,-,-,-,-,-
      Tambaqui fresco,"0,242","1,265","1,082","0,037",-,"0,031","0,008","0,040","0,131","0,024"
      Tilápia fresca,"0,303","0,087","0,745","0,692","0,295","0,434","0,200","0,299","0,365","0,093"
      Traíra fresca,"0,038","0,196","0,046","0,015",-,"0,007","0,016",-,"0,051","0,014"
      Tucunaré fresco,"0,014",-,"0,048",-,"0,012","0,022",-,-,-,"0,034"
      Outros pescados em filé congelado,"0,017",-,-,"0,031","0,008","0,024","0,024","0,009","0,011","0,017"
      Outros pescados em filé fresco,"0,009",-,"0,016",-,-,"0,006","0,015","0,028","0,002","0,014"
      Outros pescados frescos,"0,150","0,529","0,424","0,091","0,103","0,069","0,053","0,220","0,080","0,035"
      Outros pescados salgados,"0,012",-,-,"0,039",-,"0,005","0,005","0,009","0,016","0,013"
   Pescados não especificados,"0,703","2,330","0,471","0,612","0,469","0,355","0,487","0,888","0,760","0,279"
      Peixe em filé congelado,"0,007",-,-,"0,004",-,"0,010","0,017","0,022","0,034",-
      Peixe em filé fresco,"0,004",-,-,"0,020","0,010",-,-,-,-,-
      Peixe fresco,"0,689","2,330","0,471","0,583","0,459","0,345","0,470","0,866","0,697","0,272"
      Peixe salgado,"0,004",-,-,"0,005",-,-,-,-,"0,029","0,007"
Aves e ovos,"18,811","17,320","21,678","21,883","20,646","16,951","18,167","18,791","21,488","17,072"
   Aves,"15,046","15,219","18,184","18,031","16,138","14,008","13,845","14,213","17,459","13,047"
      Asa de frango,"0,226","0,065","0,107","0,209","0,428","0,083","0,303","0,164","0,064","0,319"
      Carne de frango não especificada,"0,696","0,428","0,397","0,926","0,629","0,749","0,930","0,639","2,594","0,321"
      Coxa de frango,"1,085","0,304","0,606","0,601","1,855","0,721","1,045","0,467","1,093","1,936"
      Dorso de frango,"0,033",-,-,"0,031","0,150",-,"0,028","0,050","0,062","0,035"
      Frango abatido (inteiro),"10,521","13,244","15,182","14,320","9,775","10,286","8,692","10,542","9,791","7,389"
      Frango vivo,"0,188","0,275","0,368","0,066","0,137","0,089","0,080","0,492","0,366","0,192"
      Miúdos de frango,"0,108","0,043","0,048","0,094","0,323","0,061","0,148","0,079","0,100","0,105"
      Peito de frango,"1,985","0,820","1,359","1,606","2,729","1,903","2,386","1,625","3,302","2,378"
      Outras carnes de frango,"0,068","0,030","0,013","0,053","0,068","0,077","0,118","0,023","0,071","0,084"
      Pato  inteiro ou em cortes,"0,015",-,"0,009","0,024",-,-,-,-,-,"0,039"
      Peru abatido,"0,034",-,"0,075",-,"0,037",-,"0,068","0,128",-,"0,031"
      Peru em cortes,"0,075","0,001","0,021","0,084","0,007","0,034","0,020","0,005","0,015","0,202"
      Outras,"0,013","0,010",-,"0,018",-,"0,005","0,027",-,-,"0,015"
   Ovos,"3,765","2,101","3,494","3,851","4,507","2,943","4,322","4,578","4,028","4,026"
      Ovo de galinha,"3,745","2,096","3,484","3,838","4,470","2,935","4,288","4,571","4,016","4,000"
      Outros,"0,020","0,005","0,010","0,013","0,037","0,008","0,035","0,007","0,012","0,026"
Laticínios,"20,061","8,872","15,130","25,410","32,655","22,940","16,078","10,180","19,274","24,308"
   Leite e creme de leite,"16,469","7,743","12,986","22,200","27,293","18,717","10,573","7,991","15,451","20,524"
      Creme de leite,"0,292","0,098","0,195","0,290","0,566","0,476","0,383","0,109","0,178","0,292"
      Leite condensado,"0,408","0,185","0,294","0,378","0,646","0,402","0,525","0,230","0,581","0,441"
      Leite de vaca fresco,"6,217","1,350","6,134","7,802","13,451","8,918","1,873","3,466","8,293","8,210"
      Leite de vaca pasteurizado,"6,741","3,407","3,197","11,220","8,539","7,022","4,256","2,293","3,539","8,933"
      Leite em pó desengordurado,"0,125","0,076","0,125","0,069","0,123","0,124","0,121","0,093","0,109","0,194"
      Leite em pó integral,"1,853","2,219","2,633","1,649","1,604","1,077","2,342","1,220","1,747","1,748"
