"Alimento","Região Sudeste",Minas Gerais,Espírito Santo,Rio de Janeiro,São Paulo
      Óleo não especificado,"0,076","0,044","0,288","0,227","0,016"
      Outros,"0,056","0,028","0,029","0,025","0,082"
   Gorduras,"1,333","0,953","0,719","1,618","1,455"
      Banha de porco,"0,062","0,130","0,119","0,029","0,037"
      Margarina vegetal,"1,269","0,822","0,600","1,588","1,413"
      Outras,"0,003","0,001",-,"0,001","0,004"
Bebidas e infusões,"47,412","37,907","32,552","39,744","55,994"
   Bebidas alcoólicas,"7,996","7,694","5,003","7,090","8,739"
      Aguardente de cana,"0,171","0,139","0,043","0,119","0,217"
      Outras aguardentes,"0,002",-,-,-,"0,003"
      Cerveja,"7,031","7,114","4,592","6,118","7,550"
      Vinho,"0,603","0,384","0,268","0,724","0,688"
      Outras,"0,189","0,056","0,100","0,129","0,281"
   Bebidas não alcoólicas,"36,510","27,411","25,874","29,826","44,165"
      Água mineral,"15,670","10,287","17,213","10,504","19,974"
      Refrigerante de cola,"7,867","6,366","2,910","7,012","9,315"
      Refrigerante de guaraná,"4,280","3,721","1,761","3,617","5,007"
      Refrigerante de laranja,"1,049","1,119","0,485","0,461","1,287"
      Refrigerante de limão,"0,689","0,276","0,260","0,212","1,097"
      Refrigerante de maçã,"0,032","0,064",-,"0,009","0,028"
      Refrigerante de uva,"0,216","0,223","0,507","0,159","0,209"
      Bebida energética,"0,206","0,155","0,070","0,083","0,289"
      Refrigerante não especificado,"1,675","1,835","1,179","2,095","1,486"
      Outros refrigerantes,"0,706","0,294","0,014","0,824","0,913"
      Suco de fruta em pó,"0,275","0,327","0,145","0,134","0,314"
      Suco de fruta envasado,"3,003","2,240","1,271","3,821","3,199"
      Outras,"0,841","0,502","0,059","0,893","1,046"
   Cafés,"2,692","2,725","1,650","2,562","2,817"
      Café moído,"2,529","2,686","1,581","2,238","2,649"
      Café solúvel,"0,040","0,012","0,015","0,046","0,053"
      Outros,"0,123","0,026","0,054","0,278","0,116"
   Chás,"0,213","0,078","0,026","0,265","0,273"
      Chá-mate,"0,131","0,069","0,010","0,202","0,143"
      Outros,"0,083","0,009","0,015","0,063","0,130"
Alimentos preparados e misturas industriais,"5,118","4,391","2,368","2,950","6,512"
   Alimentos preparados,"4,861","4,068","2,018","2,674","6,300"
      Alimento congelado,"0,524","0,266","0,110","0,388","0,731"
      Batata frita,"0,199","0,242","0,082","0,258","0,167"
      Carne-assada,"0,066","0,044","0,010","0,017","0,100"
      Frango assado ou defumado,"0,717","0,604","0,433","0,558","0,854"
      Frango empanado,"0,110","0,076","0,126","0,092","0,132"
      Massa,"1,018","0,524","0,120","0,347","1,577"
      Refeição,"0,873","1,277","0,326","0,252","0,969"
      Salgadinho,"0,302","0,329","0,138","0,181","0,349"
      Sanduíche,"0,123","0,181","0,034","0,017","0,143"
      Outros,"0,929","0,524","0,639","0,564","1,279"
   Misturas industriais,"0,257","0,323","0,350","0,276","0,212"
      Mistura para bolo,"0,248","0,313","0,342","0,264","0,204"
      Outras,"0,010","0,010","0,008","0,011","0,009"
Outros produtos,"0,005","0,012","0,010","0,000","0,003"
